"구분별","분류별","제외별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"400만원 이상","응답자","음성통화 제외","사례수","명","","1083","1330","1520","2098","2171","2701","2604","2390","2432","2770",
"400만원 이상","응답자","음성통화 제외","30분 미만","%","","12.6","10.6","","","","","","","","",
"400만원 이상","응답자","음성통화 제외","1시간 미만","%","","","","32.4","32.8","33.5","30.3","29.3","25.6","22.8","16.4",
"400만원 이상","응답자","음성통화 제외","30분-1시간 미만","%","","19.9","23.2","","","","","","","","",
"400만원 이상","응답자","음성통화 제외","1-2시간 미만","%","","28.1","52","32.4","29.6","29.1","33.4","31.1","29.5","26.6","29.6",
"400만원 이상","응답자","음성통화 제외","2-3시간 미만","%","","16.2","14.1","16.6","19.2","16.8","18.4","19.4","19.6","20.5","22.4",
"400만원 이상","응답자","음성통화 제외","3-4시간 미만","%","","","","7.9","8.7","10.4","9.4","10.8","12.4","12.8","14.5",
"400만원 이상","응답자","음성통화 제외","3시간 이상","%","","23.2","","","","","","","","","",
"400만원 이상","응답자","음성통화 제외","4시간이상","%","","","","10.7","9.7","10.2","8.5","9.4","12.9","17.3","17.2",
"400만원 이상","응답자","음성통화 제외","평균","분","","110.9","87.5","101.4","99.5","98.8","95.1","101.7","116.4","122.3","129.3",
"400만원 이상","응답자","음성통화/문자 제외","사례수","명","583","","","","","","","","","","",
"400만원 이상","응답자","음성통화/문자 제외","30분 미만","%","19.5","","","","","","","","","","",
"400만원 이상","응답자","음성통화/문자 제외","30분-1시간 미만","%","25","","","","","","","","","","",
"400만원 이상","응답자","음성통화/문자 제외","1-2시간 미만","%","29.9","","","","","","","","","","",
"400만원 이상","응답자","음성통화/문자 제외","2시간 이상","%","25.6","","","","","","","","","","",
"400만원 이상","응답자","음성통화/문자 제외","평균","분","85.3","","","","","","","","","","",
"무응답","전체","음성통화 제외","사례수","명","","","","","228","185","","","","","",
"무응답","전체","음성통화 제외","1시간 미만","%","","","","","52.5","34.7","","","","","",
"무응답","전체","음성통화 제외","1-2시간 미만","%","","","","","24.2","25.8","","","","","",
"무응답","전체","음성통화 제외","2-3시간 미만","%","","","","","12.6","16.5","","","","","",
"무응답","전체","음성통화 제외","3-4시간 미만","%","","","","","2.6","10.7","","","","","",
"무응답","전체","음성통화 제외","4시간이상","%","","","","","8.1","12.2","","","","","",
"무응답","전체","음성통화 제외","평균","분","","","","","72.2","102.4","","","","","",
"무응답","응답자","음성통화 제외","사례수","명","","54","182","195","190","161","91","169","150","102","15",
"무응답","응답자","음성통화 제외","30분 미만","%","","16.8","11","","","","","","","","",
"무응답","응답자","음성통화 제외","1시간 미만","%","","","","41.3","43","24.8","43.3","33.2","19.7","20.4","41.5",
"무응답","응답자","음성통화 제외","30분-1시간 미만","%","","17.9","15.5","","","","","","","","",
"무응답","응답자","음성통화 제외","1-2시간 미만","%","","26.8","52.3","28.7","29.1","29.7","23.8","28.1","24.9","45.7","13.4",
"무응답","응답자","음성통화 제외","2-3시간 미만","%","","16.3","21.3","13","15.1","19","16.7","17.3","24.2","11.6","25.3",
"무응답","응답자","음성통화 제외","3-4시간 미만","%","","","","8.7","3.1","12.4","6.2","10.1","7.6","13.1","18.7",
"무응답","응답자","음성통화 제외","3시간 이상","%","","22.3","","","","","","","","","",
"무응답","응답자","음성통화 제외","4시간이상","%","","","","8.4","9.7","14.1","10","11.4","23.7","9.1","1.1",
"무응답","응답자","음성통화 제외","평균","분","","99.1","104","87.3","86.6","117.9","88.8","104.5","149.6","95.4","87.2",
"무응답","응답자","음성통화/문자 제외","사례수","명","30","","","","","","","","","","",
"무응답","응답자","음성통화/문자 제외","30분 미만","%","18.6","","","","","","","","","","",
"무응답","응답자","음성통화/문자 제외","30분-1시간 미만","%","18.7","","","","","","","","","","",
"무응답","응답자","음성통화/문자 제외","1-2시간 미만","%","21","","","","","","","","","","",
"무응답","응답자","음성통화/문자 제외","2시간 이상","%","41.7","","","","","","","","","","",
"무응답","응답자","음성통화/문자 제외","평균","분","113.4","","","","","","","","","","",
"중/고등학생","전체","음성통화 제외","사례수","명","","","","","505","463","","","","","",
"중/고등학생","전체","음성통화 제외","1시간 미만","%","","","","","30.4","23.3","","","","","",
"중/고등학생","전체","음성통화 제외","1-2시간 미만","%","","","","","26.6","28.5","","","","","",
"중/고등학생","전체","음성통화 제외","2-3시간 미만","%","","","","","17.9","13.7","","","","","",
"중/고등학생","전체","음성통화 제외","3-4시간 미만","%","","","","","11.3","21","","","","","",
"중/고등학생","전체","음성통화 제외","4시간이상","%","","","","","13.9","13.6","","","","","",
"중/고등학생","전체","음성통화 제외","평균","분","","","","","117.3","120.6","","","","","",
"중/고등학생","응답자","음성통화 제외","사례수","명","","460","373","462","453","425","504","425","362","273","417",
"중/고등학생","응답자","음성통화 제외","30분 미만","%","","6.6","6.9","","","","","","","","",
"중/고등학생","응답자","음성통화 제외","1시간 미만","%","","","","21","22.4","16.3","15.3","18.1","14.4","10.1","6.3",
"중/고등학생","응답자","음성통화 제외","30분-1시간 미만","%","","19.9","22.7","","","","","","","","",
"중/고등학생","응답자","음성통화 제외","1-2시간 미만","%","","31","46.3","28.5","29.6","31.1","31.8","25.1","29.1","18.7","20.9",
"중/고등학생","응답자","음성통화 제외","2-3시간 미만","%","","18.2","24.1","20","19.9","14.9","24","23.4","26.3","24.3","27",
"중/고등학생","응답자","음성통화 제외","3-4시간 미만","%","","","","11.3","12.6","22.9","13.2","16.8","13.6","15.2","21.3",
"중/고등학생","응답자","음성통화 제외","3시간 이상","%","","24.3","","","","","","","","","",
"중/고등학생","응답자","음성통화 제외","4시간이상","%","","","","19.1","15.5","14.8","15.6","16.5","16.6","31.7","24.4",
"중/고등학생","응답자","음성통화 제외","평균","분","","116.7","112.9","138.4","130.6","131.6","125.5","130.6","131.3","167.1","156.4",
"중/고등학생","응답자","음성통화/문자 제외","사례수","명","135","","","","","","","","","","",
"중/고등학생","응답자","음성통화/문자 제외","30분 미만","%","15.6","","","","","","","","","","",
"중/고등학생","응답자","음성통화/문자 제외","30분-1시간 미만","%","29.5","","","","","","","","","","",
"중/고등학생","응답자","음성통화/문자 제외","1-2시간 미만","%","28.6","","","","","","","","","","",
"중/고등학생","응답자","음성통화/문자 제외","2시간 이상","%","26.3","","","","","","","","","","",
"중/고등학생","응답자","음성통화/문자 제외","평균","분","83.4","","","","","","","","","","",
"고졸이하","전체","음성통화 제외","사례수","명","","","","","3883","3729","","","","","",
"고졸이하","전체","음성통화 제외","1시간 미만","%","","","","","66.4","66.5","","","","","",
"고졸이하","전체","음성통화 제외","1-2시간 미만","%","","","","","16.9","17","","","","","",
"고졸이하","전체","음성통화 제외","2-3시간 미만","%","","","","","8.3","7.4","","","","","",
"고졸이하","전체","음성통화 제외","3-4시간 미만","%","","","","","3.8","4.3","","","","","",
"고졸이하","전체","음성통화 제외","4시간이상","%","","","","","4.6","4.7","","","","","",
"고졸이하","전체","음성통화 제외","평균","분","","","","","49.6","49.5","","","","","",
"고졸이하","응답자","음성통화 제외","사례수","명","","1096","1540","1625","2484","2598","2812","2922","2762","2669","2982",
"고졸이하","응답자","음성통화 제외","30분 미만","%","","23.4","21.2","","","","","","","","",
"고졸이하","응답자","음성통화 제외","1시간 미만","%","","","","44.4","47.5","51.9","51","52.2","46.2","44.8","42.7",
"고졸이하","응답자","음성통화 제외","30분-1시간 미만","%","","22.5","28.5","","","","","","","","",
"고졸이하","응답자","음성통화 제외","1-2시간 미만","%","","25.7","40","29.1","26.4","24.5","26.6","25.7","26.3","25.4","23.2",
"고졸이하","응답자","음성통화 제외","2-3시간 미만","%","","14.5","10.3","15.2","13","10.7","10.8","8.9","12.1","12.2","14",
"고졸이하","응답자","음성통화 제외","3-4시간 미만","%","","","","5.6","5.9","6.2","6","6.4","7.8","7.9","9.5",
"고졸이하","응답자","음성통화 제외","3시간 이상","%","","13.9","","","","","","","","","",
"고졸이하","응답자","음성통화 제외","4시간이상","%","","","","5.8","7.2","6.8","5.6","6.4","7.6","9.8","10.6",
"고졸이하","응답자","음성통화 제외","평균","분","","81.6","72","78.2","77.5","71","68.5","69.5","80","83.2","90.9",
"고졸이하","응답자","음성통화/문자 제외","사례수","명","458","","","","","","","","","","",
"고졸이하","응답자","음성통화/문자 제외","30분 미만","%","26.2","","","","","","","","","","",
